id,avg_price,avg_cpm,zip_code,zip_code_id,lat,lon,size,price,rate_card_price,floor_price,cpm,impressions,supplier_id,supplier_face_id
433561,1500.0,2.35,4047,16320,36.47744,-87.144616,"10' 6"" x 36'",1500.0,1800.0,,2.35,639616,39,8211
100132,660.0,22.86,4056,37085,41.7738,-110.5504,"10' 6"" x 22' 9""",660.0,792.0,,22.86,28876,39,98802
175645,795.0,3.04,4042,6353,40.35614,-78.41267,"10' 6"" x 22' 9""",795.0,954.0,,3.04,261920,39,27194
257349,2000.0,7.11,4006,39905,33.709625,-116.15256,14' x 48',2000.0,2400.0,,7.11,281464,39,7361
175653,640.0,9.4,4042,6393,40.18281,-78.37911,"10' 6"" x 22' 9""",640.0,768.0,,9.4,68096,39,22731
124499,1346.0,1.49,4013,13611,32.069823,-81.19374,12' x 50',1346.0,1615.0,,1.49,904476,39,10042
133385,750.0,3.31,4047,16760,36.00923,-83.9252,"10' 6"" x 22' 9""",750.0,900.0,,3.31,226604,39,96009
124561,750.0,1.86,4013,13611,32.121562,-81.16749,"10' 6"" x 22' 9""",750.0,900.0,,1.86,403024,39,17331
271980,785.0,4.34,4037,11880,34.62969,-78.98855,"10' 6"" x 22' 9""",785.0,942.0,,4.34,180860,39,709
257432,1000.0,7.12,4042,5740,39.90225,-79.73494,"10' 6"" x 22' 9""",1000.0,1200.0,,7.12,140460,39,3913
124749,475.0,2.46,4013,13419,33.42924,-82.04477,"10' 6"" x 22' 9""",450.0,540.0,,2.84,193480,39,5671
496412,555.0,6.36,4019,23321,42.44339,-91.01682,"10' 6"" x 22' 9""",555.0,666.0,,6.36,87272,39,11813
239317,625.0,6.64,4024,9074,38.26146,-77.168,"10' 6"" x 22' 9""",625.0,750.0,,6.64,94112,39,5370
124809,3200.0,8.53,4013,13611,32.079246,-81.195437,14' x 48',3200.0,3840.0,,8.53,375040,39,17162
169848,900.0,2.7,4020,29876,39.05309,-95.06843,16' x 50',900.0,1080.0,,2.7,332796,39,1280
